Date,Activity Type,Title,Distance,Calories,Total Time,Avg HR,Max HR,Avg Speed,Total Ascent,Total Descent,Steps,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Avg Speed Removed,Resting Heart Rate,stress
2025-02-18,Cardio,Bristol Cardio,0.0,455.0,0 days 01:05:28,114.0,167.0,,0.0,0.0,808.0,0 days 01:05:28,1,0 days 00:00:00,0 days 01:05:28,84,92,True,58,30
2025-02-19,Running,Bristol Running,5.02,430.0,0 days 00:25:57,172.0,190.0,0 days 00:05:10,54.0,54.0,421.0,0 days 00:00:54.700000,4,0 days 00:25:48,0 days 00:25:57,71,91,False,56,29
2025-02-20,Cardio,Cardio,0.0,488.0,0 days 01:09:27,115.0,158.0,,0.0,0.0,768.0,0 days 01:09:27,1,0 days 00:00:00,0 days 01:09:27,99,106,True,56,29
2025-02-21,Treadmill Running,Treadmill Running,3.17,311.0,0 days 00:19:56,168.0,184.0,0 days 00:06:17,0.0,0.0,421.0,0 days 00:09:27.100000,2,0 days 00:13:59,0 days 00:19:56,85,85,False,56,29
2025-02-21,Cardio,Bristol Cardio,3.79,709.0,0 days 01:50:48,113.0,174.0,,20.0,20.0,972.0,0 days 01:50:48,1,0 days 00:31:42,0 days 01:50:48,9,28,True,56,29
2025-02-23,Treadmill Running,Treadmill Running,15.03,1301.0,0 days 01:50:23,146.0,186.0,0 days 00:07:21,0.0,0.0,421.0,0 days 00:02:45.700000,10,0 days 01:44:10,0 days 01:52:42,85,85,False,56,29
2025-02-24,Cardio,Bristol Cardio,0.01,442.0,0 days 00:55:16,125.0,176.0,,31.0,31.0,0.0,0 days 00:55:16,1,0 days 00:00:17,0 days 00:55:16,86,95,True,56,29
2025-02-25,Running,Bristol Running,5.01,413.0,0 days 00:24:37,174.0,190.0,0 days 00:04:55,36.0,36.0,421.0,0 days 00:00:45.300000,4,0 days 00:24:36,0 days 00:24:37,74,94,False,56,29
2025-02-25,Cardio,Bristol Cardio,2.89,351.0,0 days 01:07:56,98.0,151.0,,4.0,4.0,594.0,0 days 01:07:56,1,0 days 00:17:14,0 days 01:07:56,13,26,True,56,29
2025-02-26,Cardio,Bristol Cardio,0.02,426.0,0 days 00:57:09,117.0,177.0,,0.0,0.0,724.0,0 days 00:57:09,1,0 days 00:00:11,0 days 00:57:09,81,86,True,54,26
2025-02-27,Cardio,Cardio,0.0,466.0,0 days 01:00:55,117.0,160.0,,0.0,0.0,814.0,0 days 01:00:55,1,0 days 00:00:00,0 days 01:00:55,4,17,True,54,26
2025-02-28,Cardio,Cardio,0.0,276.0,0 days 00:34:32,119.0,149.0,,0.0,0.0,818.0,0 days 00:34:32,1,0 days 00:00:00,0 days 00:34:32,8,14,True,54,26
2025-02-28,Treadmill Running,Treadmill Running,3.27,322.0,0 days 00:19:49,174.0,191.0,0 days 00:06:04,0.0,0.0,421.0,0 days 00:00:10.300000,3,0 days 00:13:40,0 days 00:19:49,85,85,False,54,26
2025-03-01,Running,Bristol Running,20.0,1840.0,0 days 02:11:27,165.0,180.0,0 days 00:06:34,191.0,191.0,421.0,0 days 00:04:34.200000,13,0 days 02:11:23,0 days 02:12:34,12,89,False,54,26
2025-03-02,Cardio,Cardio,0.0,158.0,0 days 00:52:22,80.0,132.0,,0.0,0.0,134.0,0 days 00:52:22,1,0 days 00:00:00,0 days 00:52:22,35,39,True,54,26
2025-03-03,Cardio,Cardio,0.0,345.0,0 days 01:00:51,100.0,159.0,,0.0,0.0,662.0,0 days 01:00:51,1,0 days 00:00:00,0 days 01:00:51,89,99,True,54,26
2025-03-04,Cardio,Cardio,0.0,516.0,0 days 01:04:00,122.0,157.0,,0.0,0.0,916.0,0 days 01:04:00,1,0 days 00:00:00,0 days 01:04:00,91,106,True,54,26
2025-03-04,Cardio,Cardio,0.0,108.0,0 days 00:36:10,79.0,110.0,,0.0,0.0,188.0,0 days 00:36:10,1,0 days 00:00:00,0 days 00:36:10,87,89,True,54,26
2025-03-05,Running,Bristol Running,4.69,382.0,0 days 00:22:24,176.0,194.0,0 days 00:04:46,35.0,35.0,421.0,0 days 00:07:01.400000,3,0 days 00:22:21,0 days 00:22:24,74,91,False,56,28
2025-03-05,Cardio,Cardio,0.0,372.0,0 days 00:55:05,114.0,163.0,,0.0,0.0,652.0,0 days 00:55:05,1,0 days 00:00:00,0 days 00:55:12,92,100,True,56,28
2025-03-06,Cardio,Cardio,0.0,431.0,0 days 00:54:09,120.0,164.0,,0.0,0.0,636.0,0 days 00:54:09,1,0 days 00:00:00,0 days 00:54:09,90,97,True,56,28
2025-03-06,Cardio,Cardio,0.0,275.0,0 days 00:31:45,123.0,148.0,,0.0,0.0,421.0,0 days 00:31:45,1,0 days 00:00:00,0 days 00:31:45,74,91,True,56,28
2025-03-07,Cardio,Bristol Cardio,5.59,641.0,0 days 01:48:37,108.0,155.0,,21.0,21.0,868.0,0 days 01:48:37,1,0 days 00:38:01,0 days 01:48:38,10,24,True,56,28
2025-03-07,Treadmill Running,Treadmill Running,3.63,412.0,0 days 00:25:00,175.0,189.0,0 days 00:06:54,0.0,0.0,421.0,0 days 00:02:57.400000,3,0 days 00:17:10,0 days 00:25:00,85,85,False,56,28
2025-03-08,Cardio,Cardio,0.0,593.0,0 days 01:42:56,108.0,164.0,,0.0,0.0,421.0,0 days 01:42:56,1,0 days 00:00:00,0 days 01:43:02,103,116,True,56,28
2025-03-09,Running,Bristol Running,7.09,619.0,0 days 00:44:41,146.0,165.0,0 days 00:06:18,41.0,41.0,421.0,0 days 00:03:54.300000,5,0 days 00:44:39,0 days 00:54:14,37,92,False,56,28
2025-03-10,Treadmill Running,Treadmill Running,4.23,412.0,0 days 00:25:15,173.0,190.0,0 days 00:05:58,0.0,0.0,421.0,0 days 00:06:06.700000,3,0 days 00:18:16,0 days 00:25:15,85,85,False,56,28
2025-03-10,Cardio,Cardio,0.0,441.0,0 days 01:00:19,115.0,152.0,,0.0,0.0,692.0,0 days 01:00:19,1,0 days 00:00:00,0 days 01:00:19,57,66,True,56,28
2025-03-11,Cardio,Cardio,0.0,458.0,0 days 01:05:48,113.0,149.0,,0.0,0.0,978.0,0 days 01:05:48,1,0 days 00:00:00,0 days 01:05:48,84,93,True,56,28
2025-03-11,Cardio,Cardio,0.0,486.0,0 days 01:13:21,114.0,166.0,,0.0,0.0,421.0,0 days 01:13:21,1,0 days 00:00:00,0 days 01:13:21,98,105,True,56,28
2025-03-12,Cardio,Cardio,0.0,368.0,0 days 00:51:34,114.0,156.0,,0.0,0.0,421.0,0 days 00:51:34,1,0 days 00:00:00,0 days 00:51:34,98,104,True,57,33
2025-03-13,Running,Bristol Running,5.01,360.0,0 days 00:23:42,159.0,189.0,0 days 00:04:44,36.0,36.0,421.0,0 days 00:00:45.600000,4,0 days 00:23:21,0 days 00:23:42,70,91,False,57,33
2025-03-14,Cardio,Cardio,0.0,331.0,0 days 01:02:11,100.0,148.0,,0.0,0.0,752.0,0 days 01:02:11,1,0 days 00:00:00,0 days 01:02:11,85,85,True,57,33
2025-03-16,Running,Bristol Running,21.28,1869.0,0 days 02:14:00,158.0,175.0,0 days 00:06:18,218.0,218.0,421.0,0 days 00:02:38.600000,14,0 days 02:13:27,0 days 02:16:42,14,98,False,57,33
2025-03-17,Cardio,Bristol Cardio,0.47,305.0,0 days 01:09:01,98.0,155.0,,386.0,386.0,0.0,0 days 01:09:01,1,0 days 00:01:55,0 days 01:09:01,85,18,True,57,33
2025-03-17,Cardio,Cardio,0.0,334.0,0 days 00:53:26,108.0,143.0,,0.0,0.0,862.0,0 days 00:53:26,1,0 days 00:00:00,0 days 00:53:26,97,104,True,57,33
2025-03-18,Cardio,Cardio,0.0,365.0,0 days 00:54:17,111.0,164.0,,0.0,0.0,421.0,0 days 00:54:17,1,0 days 00:00:00,0 days 00:54:17,89,98,True,57,33
2025-03-18,Treadmill Running,Treadmill Running,3.97,383.0,0 days 00:24:59,164.0,182.0,0 days 00:06:18,0.0,0.0,421.0,0 days 00:04:50.100000,3,0 days 00:17:07,0 days 00:24:59,85,85,False,57,33
2025-03-18,Cardio,Cardio,0.0,213.0,0 days 00:38:11,101.0,142.0,,0.0,0.0,244.0,0 days 00:38:11,1,0 days 00:00:00,0 days 00:38:11,19,94,True,57,33
2025-03-19,Cardio,Bristol Cardio,0.02,394.0,0 days 00:56:42,111.0,169.0,,0.0,0.0,650.0,0 days 00:56:42,1,0 days 00:00:07,0 days 00:56:42,85,93,True,56,27
2025-03-19,Cardio,Bristol Cardio,0.08,505.0,0 days 01:07:09,117.0,153.0,,0.0,0.0,421.0,0 days 01:07:09,1,0 days 00:00:12,0 days 01:07:11,84,89,True,56,27
2025-03-20,Running,Bristol Running,2.33,163.0,0 days 00:10:33,155.0,187.0,0 days 00:04:32,15.0,15.0,421.0,0 days 00:03:17.500000,2,0 days 00:10:33,0 days 00:10:33,67,81,False,56,27
2025-03-21,Cardio,Bristol Cardio,0.0,394.0,0 days 00:54:56,115.0,155.0,,0.0,0.0,794.0,0 days 00:54:56,1,0 days 00:00:05,0 days 00:54:56,82,87,True,56,27
2025-03-21,Cardio,Bristol Cardio,0.25,245.0,0 days 00:53:03,93.0,146.0,,2.0,2.0,324.0,0 days 00:53:03,1,0 days 00:00:50,0 days 00:53:03,16,24,True,56,27
2025-03-22,Running,Bristol Running,5.02,403.0,0 days 00:22:56,180.0,197.0,0 days 00:04:34,31.0,31.0,421.0,0 days 00:00:46.900000,4,0 days 00:22:55,0 days 00:22:56,73,90,False,56,27
2025-03-23,Cardio,Cardio,0.0,812.0,0 days 02:22:45,108.0,171.0,,0.0,0.0,421.0,0 days 02:22:45,1,0 days 00:00:00,0 days 02:22:45,90,103,True,56,27
2025-03-24,Cardio,Cardio,0.0,294.0,0 days 00:33:32,120.0,159.0,,0.0,0.0,470.0,0 days 00:33:32,1,0 days 00:00:00,0 days 00:33:32,100,105,True,56,27
2025-03-24,Treadmill Running,Treadmill Running,2.62,224.0,0 days 00:14:51,160.0,185.0,0 days 00:05:40,0.0,0.0,421.0,0 days 00:05:40.200000,2,0 days 00:10:31,0 days 00:14:51,85,85,False,56,27
2025-03-25,Running,Bristol Running,5.01,439.0,0 days 00:31:16,144.0,157.0,0 days 00:06:15,38.0,38.0,421.0,0 days 00:01:14.400000,4,0 days 00:31:10,0 days 00:31:16,71,88,False,56,27
2025-03-26,Cardio,Bristol Cardio,0.5,276.0,0 days 01:10:17,93.0,137.0,,473.0,473.0,0.0,0 days 01:10:17,1,0 days 00:02:11,0 days 01:10:17,85,16,True,55,31
2025-03-26,Cardio,Bristol Cardio,0.01,466.0,0 days 01:03:08,115.0,158.0,,0.0,0.0,421.0,0 days 01:03:08,1,0 days 00:00:10,0 days 01:03:08,83,92,True,55,31
2025-03-28,Cardio,Bristol Cardio,5.67,614.0,0 days 01:56:55,100.0,151.0,,9.0,9.0,988.0,0 days 01:56:55,1,0 days 00:31:30,0 days 01:56:55,85,22,True,55,31
2025-03-29,Running,Bristol Running,23.57,2171.0,0 days 02:16:47,173.0,186.0,0 days 00:05:48,248.0,248.0,421.0,0 days 00:05:43.100000,15,0 days 02:14:06,0 days 02:16:47,6,105,False,55,31
2025-03-31,Cardio,Cardio,0.0,278.0,0 days 00:53:10,98.0,154.0,,0.0,0.0,421.0,0 days 00:53:10,1,0 days 00:00:00,0 days 00:53:10,99,108,True,55,31
2025-04-01,Cardio,Cardio,0.0,334.0,0 days 00:47:50,113.0,159.0,,0.0,0.0,788.0,0 days 00:47:50,1,0 days 00:00:00,0 days 00:47:50,90,100,True,55,31
